country,iso3,year,Q1,Q2,Q3,Q4
Argentina,ARG,1993, -   , -   , -   , -   
Argentina,ARG,1994, -   , -   , -   , -   
Argentina,ARG,1995, -   , -   , -   , -   
Argentina,ARG,1996, -   , -   , -   , -   
Argentina,ARG,1997, -   , -   , -   , -   
Argentina,ARG,1998, -   , -   , -   , -   
Argentina,ARG,1999, -   , -   , -   , -   
Argentina,ARG,2000, -   , -   , -   , -   
Argentina,ARG,2001, -   , -   , -   , -   
Argentina,ARG,2002, -   , -   , -   , -   
Argentina,ARG,2003,"8,339,000","8,460,000","8,831,000","9,060,000"
Argentina,ARG,2004,"9,041,000","9,187,000","9,371,000","9,459,000"
Argentina,ARG,2005,"9,154,000","9,346,000","9,602,000","9,675,000"
Argentina,ARG,2006,"9,565,000","9,851,000","9,966,000","10,115,000"
Argentina,ARG,2007,"10,052,000","10,108,000","10,294,000","10,086,000"
Argentina,ARG,2008,"10,216,000","10,279,000","10,295,000","10,426,000"
Argentina,ARG,2009,"10,370,000","10,284,000","10,338,000","10,491,000"
Argentina,ARG,2010,"10,467,000","10,544,000","10,584,000","10,593,000"
Argentina,ARG,2011,"10,605,000","10,823,000","10,882,000","10,822,000"
Argentina,ARG,2012,"10,664,000","10,832,000","10,983,000","10,959,000"
Argentina,ARG,2013,"10,748,000","10,985,000","10,978,000","11,111,000"
Argentina,ARG,2014,"10,988,000","10,994,000","11,002,000","11,236,000"
Argentina,ARG,2015,"11,070,000","11,137,000","11,340,000", -   
Armenia,ARM,1980, -   , -   , -   , -   
Armenia,ARM,1981, -   , -   , -   , -   
Armenia,ARM,1982, -   , -   , -   , -   
Armenia,ARM,1983, -   , -   , -   , -   
Armenia,ARM,1984, -   , -   , -   , -   
Armenia,ARM,1985, -   , -   , -   , -   
Armenia,ARM,1986, -   , -   , -   , -   
Armenia,ARM,1987, -   , -   , -   , -   
Armenia,ARM,1988, -   , -   , -   , -   
Armenia,ARM,1989, -   , -   , -   , -   
Armenia,ARM,1990, -   , -   , -   , -   
Armenia,ARM,1991, -   , -   , -   , -   
Armenia,ARM,1992, -   , -   , -   , -   
Armenia,ARM,1993, -   , -   , -   , -   
Armenia,ARM,1994, -   , -   , -   , -   
Armenia,ARM,1995, -   , -   , -   , -   
Armenia,ARM,1996, -   , -   , -   , -   
Armenia,ARM,1997, -   , -   , -   , -   
Armenia,ARM,1998, -   , -   , -   , -   
Armenia,ARM,1999, -   , -   , -   , -   
Armenia,ARM,2000, -   , -   , -   , -   
Armenia,ARM,2001, -   , -   , -   , -   
Armenia,ARM,2002, -   , -   , -   , -   
Armenia,ARM,2003, -   , -   , -   , -   
Armenia,ARM,2004, -   , -   , -   , -   
Armenia,ARM,2005, -   , -   , -   , -   
Armenia,ARM,2006, -   , -   , -   , -   
Armenia,ARM,2007,"602,000","622,000","628,000","913,000"
Armenia,ARM,2008,"627,000","672,000","641,000","754,000"
Armenia,ARM,2009,"690,000","733,000","793,000","916,000"
Armenia,ARM,2010,"983,000","980,000","948,000","900,000"
Armenia,ARM,2011,"824,000","1,064,000","872,000","831,000"
Armenia,ARM,2012,"881,000","1,037,000","810,000","1,084,000"
Armenia,ARM,2013,"853,000","1,015,000","1,036,000","1,202,000"
Armenia,ARM,2014,"846,000","768,000","1,027,000","918,000"
Armenia,ARM,2015,"883,000","585,000","870,000","989,000"
Australia,AUS,1980,"6,220,252","6,266,268","6,310,029","6,331,991"
Australia,AUS,1981,"6,372,839","6,404,075","6,435,119","6,418,933"
Australia,AUS,1982,"6,450,887","6,432,703","6,413,486","6,345,062"
Australia,AUS,1983,"6,289,976","6,263,904","6,286,363","6,350,505"
Australia,AUS,1984,"6,391,457","6,479,695","6,508,397","6,544,819"
Australia,AUS,1985,"6,624,161","6,647,480","6,732,850","6,849,762"
Australia,AUS,1986,"6,889,276","6,967,321","6,970,359","7,003,770"
Australia,AUS,1987,"7,055,263","7,091,261","7,155,578","7,154,518"
Australia,AUS,1988,"7,281,675","7,341,028","7,410,222","7,488,053"
Australia,AUS,1989,"7,604,731","7,704,984","7,775,241","7,848,713"
Australia,AUS,1990,"7,844,582","7,890,288","7,867,529","7,817,372"
Australia,AUS,1991,"7,755,586","7,684,116","7,634,698","7,607,373"
Australia,AUS,1992,"7,647,377","7,614,091","7,668,410","7,581,327"
Australia,AUS,1993,"7,579,925","7,610,063","7,648,587","7,740,214"
Australia,AUS,1994,"7,788,812","7,852,807","7,931,810","7,996,279"
Australia,AUS,1995,"8,099,029","8,166,394","8,237,279","8,289,196"
Australia,AUS,1996,"8,294,060","8,303,413","8,303,166","8,299,334"
Australia,AUS,1997,"8,336,947","8,340,287","8,336,662","8,446,557"
Australia,AUS,1998,"8,456,060","8,494,226","8,535,291","8,551,736"
Australia,AUS,1999,"8,596,161","8,619,989","8,692,212","8,754,643"
Australia,AUS,2000,"8,788,585","8,877,428","8,990,712","8,909,058"
Australia,AUS,2001,"8,952,336","9,013,008","9,046,819","9,071,071"
Australia,AUS,2002,"9,123,322","9,137,722","9,223,361","9,290,522"
Australia,AUS,2003,"9,402,346","9,378,671","9,399,425","9,433,827"
Australia,AUS,2004,"9,462,284","9,530,520","9,533,342","9,674,850"
Australia,AUS,2005,"9,772,784","9,847,336","9,941,728","9,951,402"
Australia,AUS,2006,"9,989,449","10,078,246","10,174,580","10,224,629"
Australia,AUS,2007,"10,302,933","10,409,941","10,476,284","10,557,205"
Australia,AUS,2008,"10,644,079","10,687,055","10,783,032","10,778,156"
Australia,AUS,2009,"10,802,029","10,776,471","10,779,859","10,849,501"
Australia,AUS,2010,"10,920,993","10,939,701","11,054,118","11,163,841"
Australia,AUS,2011,"11,179,301","11,169,826","11,217,700","11,256,623"
Australia,AUS,2012,"11,272,834","11,356,596","11,354,617","11,386,065"
Australia,AUS,2013,"11,464,059","11,446,547","11,451,892","11,450,028"
Australia,AUS,2014,"11,476,303","11,508,366","11,544,615","11,558,364"
Australia,AUS,2015,"11,635,214","11,710,006","11,773,833","11,903,277"
Austria,AUT,1980,"2,734,800","2,769,900","2,839,100","2,807,500"
Austria,AUT,1981,"2,754,300","2,786,100","2,857,300","2,799,900"
Austria,AUT,1982,"2,725,500","2,760,000","2,819,400","2,759,900"
Austria,AUT,1983,"2,686,700","2,724,700","2,794,500","2,739,600"
Austria,AUT,1984,"2,680,100","2,731,700","2,813,100","2,753,600"
Austria,AUT,1985,"2,692,100","2,750,300","2,832,600","2,771,300"
Austria,AUT,1986,"2,713,800","2,777,100","2,854,100","2,790,000"
Austria,AUT,1987,"2,721,900","2,781,500","2,861,800","2,794,600"
Austria,AUT,1988,"2,743,700","2,800,400","2,882,600","2,828,200"
Austria,AUT,1989,"2,791,100","2,846,000","2,933,400","2,883,100"
Austria,AUT,1990,"2,852,000","2,908,900","2,999,700","2,957,800"
Austria,AUT,1991,"2,916,500","2,980,200","3,081,000","3,020,500"
Austria,AUT,1992,"2,988,000","3,048,400","3,140,700","3,058,900"
Austria,AUT,1993,"3,001,500","3,052,500","3,130,200","3,048,100"
Austria,AUT,1994,"3,003,200","3,064,900","3,147,300","3,075,400"
Austria,AUT,1995,"3,021,000","3,068,000","3,140,900","3,053,600"
Austria,AUT,1996,"2,977,500","3,041,900","3,130,700","3,045,100"
Austria,AUT,1997,"2,984,600","3,048,500","3,140,200","3,057,800"
Austria,AUT,1998,"3,005,700","3,075,500","3,161,300","3,074,900"
Austria,AUT,1999,"3,021,700","3,098,200","3,191,400","3,113,500"
Austria,AUT,2000,"3,063,000","3,135,200","3,207,600","3,133,200"
Austria,AUT,2001,"3,084,700","3,150,100","3,220,900","3,137,500"
Austria,AUT,2002,"3,085,100","3,156,200","3,230,800","3,155,000"
Austria,AUT,2003,"3,115,300","3,188,100","3,258,400","3,182,400"
Austria,AUT,2004,"3,121,700","3,195,800","3,278,300","3,201,700"
Austria,AUT,2005,"3,149,800","3,228,200","3,307,700","3,237,100"
Austria,AUT,2006,"3,187,600","3,277,200","3,365,900","3,302,500"
Austria,AUT,2007,"3,265,100","3,336,600","3,413,300","3,357,400"
Austria,AUT,2008,"3,328,100","3,383,900","3,445,000","3,372,700"
Austria,AUT,2009,"3,298,400","3,337,500","3,392,700","3,328,700"
Austria,AUT,2010,"3,270,900","3,353,000","3,433,600","3,375,900"
Austria,AUT,2011,"3,343,000","3,417,200","3,498,600","3,435,000"
Austria,AUT,2012,"3,391,900","3,465,800","3,541,600","3,466,400"
Austria,AUT,2013,"3,415,100","3,486,100","3,542,000","3,471,400"
Austria,AUT,2014,"3,444,200","3,499,100","3,552,300","3,493,100"
Austria,AUT,2015,"3,457,900","3,524,500","3,598,900","3,542,200"
Belgium,BEL,1980, -   , -   ,"3,806,000","3,784,100"
Belgium,BEL,1981,"3,765,700","3,750,000","3,740,400","3,734,200"
Belgium,BEL,1982,"3,722,100","3,703,200","3,690,000","3,681,500"
Belgium,BEL,1983,"3,665,900","3,654,600","3,646,500","3,639,000"
Belgium,BEL,1984,"3,645,800","3,648,700","3,649,400","3,652,900"
Belgium,BEL,1985,"3,653,400","3,659,800","3,671,000","3,682,600"
Belgium,BEL,1986,"3,689,100","3,689,900","3,692,500","3,693,100"
Belgium,BEL,1987,"3,696,300","3,710,100","3,718,800","3,750,300"
Belgium,BEL,1988,"3,780,300","3,779,900","3,792,200","3,810,000"
Belgium,BEL,1989,"3,824,100","3,839,900","3,857,700","3,871,900"
Belgium,BEL,1990,"3,878,800","3,890,800","3,897,300","3,897,600"
Belgium,BEL,1991,"3,899,800","3,903,900","3,906,900","3,901,300"
Belgium,BEL,1992,"3,900,500","3,904,800","3,899,400","3,883,800"
Belgium,BEL,1993,"3,877,200","3,877,700","3,871,100","3,862,900"
Belgium,BEL,1994,"3,856,400","3,852,300","3,856,000","3,864,000"
Belgium,BEL,1995,"3,857,600","3,869,100","3,870,700","3,874,100"
Belgium,BEL,1996,"3,875,600","3,877,500","3,879,000","3,880,300"
Belgium,BEL,1997,"3,890,300","3,898,000","3,905,900","3,923,800"
Belgium,BEL,1998,"3,940,800","3,960,700","3,987,300","4,003,200"
Belgium,BEL,1999,"4,008,900","4,015,500","4,033,000","4,053,600"
Belgium,BEL,2000,"4,076,600","4,096,900","4,122,300","4,139,800"
Belgium,BEL,2001,"4,156,700","4,163,200","4,172,400","4,168,400"
Belgium,BEL,2002,"4,161,200","4,163,200","4,152,600","4,152,100"
Belgium,BEL,2003,"4,135,700","4,152,400","4,156,900","4,170,400"
Belgium,BEL,2004,"4,175,500","4,186,500","4,199,900","4,216,900"
Belgium,BEL,2005,"4,241,000","4,252,200","4,261,300","4,266,300"
Belgium,BEL,2006,"4,275,500","4,296,000","4,313,300","4,326,600"
Belgium,BEL,2007,"4,342,200","4,362,500","4,385,000","4,406,000"
Belgium,BEL,2008,"4,429,000","4,445,600","4,467,400","4,469,800"
Belgium,BEL,2009,"4,455,300","4,443,800","4,436,800","4,446,200"
Belgium,BEL,2010,"4,451,400","4,465,700","4,481,800","4,497,200"
Belgium,BEL,2011,"4,516,100","4,533,700","4,542,400","4,549,000"
Belgium,BEL,2012,"4,552,400","4,553,600","4,551,300","4,548,200"
Belgium,BEL,2013,"4,539,200","4,527,500","4,532,100","4,535,800"
Belgium,BEL,2014,"4,537,600","4,545,100","4,552,500","4,561,900"
Belgium,BEL,2015,"4,568,200","4,580,100","4,594,400", -   
Bosnia and Herzegovina,BIH,1996, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,1997, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,1998, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,1999, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2000, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2001, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2002, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2003, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2004, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2005, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2006, -   , -   , -   , -   
Bosnia and Herzegovina,BIH,2007, -   ,"668,240","676,087","687,445"
Bosnia and Herzegovina,BIH,2008,"766,712","704,597","706,023","706,088"
Bosnia and Herzegovina,BIH,2009,"723,575","692,763","689,558","686,044"
Bosnia and Herzegovina,BIH,2010,"698,970","676,997","680,135","699,296"
Bosnia and Herzegovina,BIH,2011,"694,093","695,270","693,359","687,917"
Bosnia and Herzegovina,BIH,2012,"688,702","690,406","688,318","649,111"
Bosnia and Herzegovina,BIH,2013,"684,753","686,299","683,645","689,270"
Bosnia and Herzegovina,BIH,2014,"700,667","700,659","705,887","707,725"
Bosnia and Herzegovina,BIH,2015,"707,560","714,586","716,230", -   
Brazil,BRA,1980, -   , -   , -   , -   
Brazil,BRA,1981, -   , -   , -   , -   
Brazil,BRA,1982, -   , -   , -   , -   
Brazil,BRA,1983, -   , -   , -   , -   
Brazil,BRA,1984, -   , -   , -   , -   
Brazil,BRA,1985, -   , -   , -   , -   
Brazil,BRA,1986, -   , -   , -   , -   
Brazil,BRA,1987, -   , -   , -   , -   
Brazil,BRA,1988, -   , -   , -   , -   
Brazil,BRA,1989, -   , -   , -   , -   
Brazil,BRA,1990, -   , -   , -   , -   
Brazil,BRA,1991, -   , -   , -   , -   
Brazil,BRA,1992, -   , -   , -   , -   
Brazil,BRA,1993, -   , -   , -   , -   
Brazil,BRA,1994, -   , -   , -   , -   
Brazil,BRA,1995, -   , -   , -   , -   
Brazil,BRA,1996, -   , -   , -   , -   
Brazil,BRA,1997, -   , -   , -   , -   
Brazil,BRA,1998, -   , -   , -   , -   
Brazil,BRA,1999, -   , -   , -   , -   
Brazil,BRA,2000, -   , -   , -   , -   
Brazil,BRA,2001, -   , -   , -   ,"16,082,000"
Brazil,BRA,2002,"14,361,000","17,736,000","18,221,000","18,578,000"
Brazil,BRA,2003,"18,596,000","18,698,000","18,852,000","19,222,000"
Brazil,BRA,2004,"18,874,000","19,237,000","19,551,000","19,856,000"
Brazil,BRA,2005,"19,534,000","19,914,000","19,976,000","20,201,000"
Brazil,BRA,2006,"19,980,000","20,010,000","20,478,000","20,742,000"
Brazil,BRA,2007,"20,424,000","20,502,000","21,011,000","21,395,000"
Brazil,BRA,2008,"21,102,000","21,400,000","21,725,000","21,945,000"
Brazil,BRA,2009,"21,424,000","21,473,000","21,955,000","22,120,000"
Brazil,BRA,2010,"22,198,000","22,415,000","22,691,000","22,965,000"
Brazil,BRA,2011,"22,750,000","23,004,000","23,205,000","23,421,000"
Brazil,BRA,2012,"23,196,000","23,583,000","23,551,000","24,081,000"
Brazil,BRA,2013,"23,586,000","23,612,000","23,846,000","23,917,000"
Brazil,BRA,2014,"23,599,000","23,557,000","23,763,000","24,024,000"
Brazil,BRA,2015,"23,397,000","23,423,000","23,355,000","23,155,000"
Bulgaria,BGR,1980, -   , -   , -   , -   
Bulgaria,BGR,1981, -   , -   , -   , -   
Bulgaria,BGR,1982, -   , -   , -   , -   
Bulgaria,BGR,1983, -   , -   , -   , -   
Bulgaria,BGR,1984, -   , -   , -   , -   
Bulgaria,BGR,1985, -   , -   , -   , -   
Bulgaria,BGR,1986, -   , -   , -   , -   
Bulgaria,BGR,1987, -   , -   , -   , -   
Bulgaria,BGR,1988, -   , -   , -   , -   
Bulgaria,BGR,1989, -   , -   , -   , -   
Bulgaria,BGR,1990, -   , -   , -   , -   
Bulgaria,BGR,1991, -   , -   , -   , -   
Bulgaria,BGR,1992, -   , -   , -   , -   
Bulgaria,BGR,1993, -   , -   , -   , -   
Bulgaria,BGR,1994, -   , -   , -   , -   
Bulgaria,BGR,1995, -   , -   , -   , -   
Bulgaria,BGR,1996, -   , -   , -   , -   
Bulgaria,BGR,1997, -   , -   , -   , -   
Bulgaria,BGR,1998, -   , -   , -   , -   
Bulgaria,BGR,1999, -   , -   , -   , -   
Bulgaria,BGR,2000,"2,733,500","2,872,400","2,837,200","2,735,500"
Bulgaria,BGR,2001,"2,641,296","2,751,507","2,774,340","2,628,184"
Bulgaria,BGR,2002,"2,649,753","2,800,500","2,803,700","2,704,400"
Bulgaria,BGR,2003,"2,704,300","2,876,000","2,933,100","2,825,600"
Bulgaria,BGR,2004,"2,783,800","2,969,800","3,024,600","2,911,900"
Bulgaria,BGR,2005,"2,838,400","3,008,900","3,098,100","2,982,300"
Bulgaria,BGR,2006,"2,940,500","3,139,100","3,200,800","3,159,600"
Bulgaria,BGR,2007,"3,135,400","3,253,100","3,315,500","3,306,400"
Bulgaria,BGR,2008,"3,289,900","3,372,100","3,417,300","3,363,500"
Bulgaria,BGR,2009,"3,262,800","3,300,100","3,280,000","3,171,600"
Bulgaria,BGR,2010,"3,011,300","3,072,100","3,104,200","3,023,700"
Bulgaria,BGR,2011,"2,904,400","2,946,000","3,036,500","2,973,800"
Bulgaria,BGR,2012,"2,853,200","2,913,700","3,017,100","2,951,800"
Bulgaria,BGR,2013,"2,855,000","2,940,200","3,012,900","2,931,600"
Bulgaria,BGR,2014,"2,894,100","2,979,800","3,061,900","2,989,700"
Bulgaria,BGR,2015,"2,949,800","3,011,200","3,104,700", -   
Canada,CAN,1980,"10,902,900","10,891,600","10,970,300","11,127,000"
Canada,CAN,1981,"11,283,300","11,345,800","11,353,800","11,291,500"
Canada,CAN,1982,"11,166,900","11,021,900","10,836,300","10,764,100"
Canada,CAN,1983,"10,818,200","10,952,500","11,126,600","11,162,000"
Canada,CAN,1984,"11,203,900","11,245,500","11,349,300","11,391,100"
Canada,CAN,1985,"11,506,300","11,613,700","11,712,100","11,819,000"
Canada,CAN,1986,"11,917,900","11,977,200","12,024,700","12,082,000"
Canada,CAN,1987,"12,131,400","12,285,700","12,376,200","12,519,400"
Canada,CAN,1988,"12,642,600","12,679,700","12,720,000","12,795,800"
Canada,CAN,1989,"12,936,800","12,962,200","13,029,100","13,059,700"
Canada,CAN,1990,"13,134,900","13,101,900","13,100,300","12,985,300"
Canada,CAN,1991,"12,845,100","12,879,900","12,876,200","12,823,200"
Canada,CAN,1992,"12,771,300","12,736,600","12,693,700","12,704,800"
Canada,CAN,1993,"12,763,200","12,755,900","12,808,100","12,873,900"
Canada,CAN,1994,"12,889,500","13,012,400","13,115,200","13,259,200"
Canada,CAN,1995,"13,262,300","13,265,800","13,297,800","13,315,000"
Canada,CAN,1996,"13,399,400","13,425,600","13,456,600","13,441,500"
Canada,CAN,1997,"13,538,100","13,637,200","13,798,900","13,859,500"
Canada,CAN,1998,"13,914,500","13,993,300","14,101,700","14,198,900"
Canada,CAN,1999,"14,263,300","14,352,700","14,451,800","14,549,400"
Canada,CAN,2000,"14,672,200","14,736,400","14,770,300","14,871,400"
Canada,CAN,2001,"14,883,900","14,946,200","14,948,500","14,990,300"
Canada,CAN,2002,"15,042,800","15,225,400","15,414,600","15,464,800"
Canada,CAN,2003,"15,600,100","15,581,100","15,653,400","15,777,000"
Canada,CAN,2004,"15,830,700","15,913,900","15,925,900","16,008,500"
Canada,CAN,2005,"16,051,100","16,074,400","16,173,400","16,240,000"
Canada,CAN,2006,"16,259,800","16,416,600","16,428,300","16,503,200"
Canada,CAN,2007,"16,642,600","16,698,800","16,806,500","16,923,500"
Canada,CAN,2008,"16,998,200","17,007,400","17,010,700","16,979,200"
Canada,CAN,2009,"16,770,800","16,683,500","16,682,900","16,799,000"
Canada,CAN,2010,"16,845,500","16,949,500","17,025,200","17,056,400"
Canada,CAN,2011,"17,140,400","17,182,400","17,276,100","17,259,000"
Canada,CAN,2012,"17,263,300","17,429,100","17,476,700","17,560,400"
Canada,CAN,2013,"17,640,900","17,682,700","17,724,100","17,743,900"
Canada,CAN,2014,"17,755,300","17,750,300","17,781,300","17,863,300"
Canada,CAN,2015,"17,885,000","17,946,700","17,972,100","17,988,100"
Chile,CHL,1980, -   , -   , -   , -   
Chile,CHL,1981, -   , -   , -   , -   
Chile,CHL,1982, -   , -   , -   , -   
Chile,CHL,1983, -   , -   , -   , -   
Chile,CHL,1984, -   , -   , -   , -   
Chile,CHL,1985, -   , -   , -   , -   
Chile,CHL,1986, -   , -   , -   , -   
Chile,CHL,1987, -   , -   , -   , -   
Chile,CHL,1988, -   , -   , -   , -   
Chile,CHL,1989, -   , -   , -   , -   
Chile,CHL,1990, -   , -   , -   , -   
Chile,CHL,1991, -   , -   , -   , -   
Chile,CHL,1992, -   , -   , -   , -   
Chile,CHL,1993, -   , -   , -   , -   
Chile,CHL,1994, -   , -   , -   , -   
Chile,CHL,1995, -   , -   , -   , -   
Chile,CHL,1996, -   , -   , -   , -   
Chile,CHL,1997, -   , -   , -   , -   
Chile,CHL,1998, -   , -   , -   , -   
Chile,CHL,1999, -   , -   , -   , -   
Chile,CHL,2000, -   , -   , -   , -   
Chile,CHL,2001, -   , -   , -   , -   
Chile,CHL,2002, -   , -   , -   , -   
Chile,CHL,2003, -   , -   , -   , -   
Chile,CHL,2004, -   , -   , -   , -   
Chile,CHL,2005, -   , -   , -   , -   
Chile,CHL,2006, -   , -   , -   , -   
Chile,CHL,2007, -   , -   , -   , -   
Chile,CHL,2008, -   , -   , -   , -   
Chile,CHL,2009, -   ,"6,520,690","6,500,900","6,791,600"
Chile,CHL,2010,"6,998,980","6,971,790","7,127,460","7,311,220"
Chile,CHL,2011,"7,404,070","7,444,070","7,470,630","7,505,340"
Chile,CHL,2012,"7,637,390","7,613,710","7,548,870","7,675,000"
Chile,CHL,2013,"7,734,480","7,762,820","7,751,390","7,830,930"
Chile,CHL,2014,"7,943,260","7,883,900","7,802,500","7,968,980"
Chile,CHL,2015,"7,990,850","7,976,150","7,980,910","8,074,690"
Colombia,COL,1980, -   , -   , -   , -   
Colombia,COL,1981, -   , -   , -   , -   
Colombia,COL,1982, -   , -   , -   , -   
Colombia,COL,1983, -   , -   , -   , -   
Colombia,COL,1984, -   , -   , -   , -   
Colombia,COL,1985, -   , -   , -   , -   
Colombia,COL,1986, -   , -   , -   , -   
Colombia,COL,1987, -   , -   , -   , -   
Colombia,COL,1988, -   , -   , -   , -   
Colombia,COL,1989, -   , -   , -   , -   
Colombia,COL,1990, -   , -   , -   , -   
Colombia,COL,1991, -   , -   , -   , -   
Colombia,COL,1992, -   , -   , -   , -   
Colombia,COL,1993, -   , -   , -   , -   
Colombia,COL,1994, -   , -   , -   , -   
Colombia,COL,1995, -   , -   , -   , -   
Colombia,COL,1996, -   , -   , -   , -   
Colombia,COL,1997, -   , -   , -   , -   
Colombia,COL,1998, -   , -   , -   , -   
Colombia,COL,1999, -   , -   , -   , -   
Colombia,COL,2000, -   , -   , -   , -   
Colombia,COL,2001,"15,557,024","15,188,946","15,765,929","16,731,852"
Colombia,COL,2002,"15,845,127","16,006,906","15,650,354","16,352,105"
Colombia,COL,2003,"16,089,985","16,878,534","16,723,235","17,243,668"
Colombia,COL,2004,"16,371,917","16,629,286","16,593,967","17,182,515"
Colombia,COL,2005,"16,399,677","16,840,945","16,980,878","17,579,429"
Colombia,COL,2006,"16,964,974","17,073,339","16,559,773","16,614,064"
Colombia,COL,2007,"16,813,249","16,839,317","16,972,452","17,972,818"
Colombia,COL,2008,"17,328,185","17,683,566","17,331,653","17,352,322"
Colombia,COL,2009,"17,719,776","18,543,985","18,254,881","19,217,299"
Colombia,COL,2010,"18,832,322","19,013,938","19,318,285","19,836,665"
Colombia,COL,2011,"19,071,884","19,839,499","19,928,894","21,089,847"
Colombia,COL,2012,"20,187,144","20,806,918","20,841,703","20,997,821"
Colombia,COL,2013,"20,293,229","21,284,308","21,310,498","21,478,625"
Colombia,COL,2014,"20,620,876","21,440,555","21,755,045","22,335,907"
Colombia,COL,2015,"21,320,245","21,924,944","22,017,861","22,849,374"
Costa Rica,CRI,1980, -   , -   , -   , -   
Costa Rica,CRI,1981, -   , -   , -   , -   
Costa Rica,CRI,1982, -   , -   , -   , -   
Costa Rica,CRI,1983, -   , -   , -   , -   
Costa Rica,CRI,1984, -   , -   , -   , -   
Costa Rica,CRI,1985, -   , -   , -   , -   
Costa Rica,CRI,1986, -   , -   , -   , -   
Costa Rica,CRI,1987, -   , -   , -   , -   
Costa Rica,CRI,1988, -   , -   , -   , -   
Costa Rica,CRI,1989, -   , -   , -   , -   
Costa Rica,CRI,1990, -   , -   , -   , -   
Costa Rica,CRI,1991, -   , -   , -   , -   
Costa Rica,CRI,1992, -   , -   , -   , -   
Costa Rica,CRI,1993, -   , -   , -   , -   
Costa Rica,CRI,1994, -   , -   , -   , -   
Costa Rica,CRI,1995, -   , -   , -   , -   
Costa Rica,CRI,1996, -   , -   , -   , -   
Costa Rica,CRI,1997, -   , -   , -   , -   
Costa Rica,CRI,1998, -   , -   , -   , -   
Costa Rica,CRI,1999, -   , -   , -   , -   
Costa Rica,CRI,2000, -   , -   , -   , -   
Costa Rica,CRI,2001, -   , -   , -   , -   
Costa Rica,CRI,2002, -   , -   , -   , -   
Costa Rica,CRI,2003, -   , -   , -   , -   
Costa Rica,CRI,2004, -   , -   , -   , -   
Costa Rica,CRI,2005, -   , -   , -   , -   
Costa Rica,CRI,2006, -   , -   , -   , -   
Costa Rica,CRI,2007, -   , -   , -   , -   
Costa Rica,CRI,2008, -   , -   , -   , -   
Costa Rica,CRI,2009, -   , -   , -   , -   
Costa Rica,CRI,2010, -   , -   ,"1,881,514","1,886,234"
